fighter,event_date,opp_elo_mean,opp_elo_mean_wins,opp_elo_mean_losses,wins_vs_top,losses_vs_top,losses_vs_bottom,bad_loss_ratio
Abel Trujillo,2012-12-08,,,,0,0,0,0.0
Abel Trujillo,2013-05-25,1479.0600583913654,1479.0600583913654,,0,0,0,0.0
Abel Trujillo,2013-08-28,1506.915878411643,1479.0600583913654,1534.7716984319209,0,0,0,0.0
Abel Trujillo,2013-12-14,1504.610585607762,1479.0600583913654,1534.7716984319209,0,0,0,0.0
Abel Trujillo,2014-02-01,1498.7462013686547,1480.1065535213493,1534.7716984319209,0,0,0,0.0
Abel Trujillo,2014-12-06,1501.989601104729,1491.7254356972414,1534.7716984319209,0,0,0,0.0
Abel Trujillo,2015-11-07,1510.5508466876026,1491.7254356972414,1544.064386516946,0,0,0,0.0
Abel Trujillo,2016-01-02,1517.0627982963797,1507.8277037601915,1544.064386516946,0,0,0,0.0
Abel Trujillo,2016-05-29,1517.2299485093322,1509.942163008153,1544.064386516946,0,0,0,0.0
Abel Trujillo,2017-02-04,1515.315509786073,1508.2851358401276,1544.064386516946,0,0,0,0.0
Abel Trujillo,2017-12-16,1520.6328399202412,1508.2851358401276,1552.2058613872152,0,0,0,0.0
Abner Lloveras,2015-12-11,,,,0,0,0,0.0
Abu Azaitar,2018-07-22,,,,0,0,0,0.0
Abu Azaitar,2021-03-27,1519.2792852757746,1519.2792852757746,,0,0,0,0.0
Abu Azaitar,2023-10-21,1489.7722050021102,1519.2792852757746,1460.2651247284457,0,0,1,0.5
Abubakar Nurmagomedov,2019-11-09,,,,0,0,0,0.0
Abubakar Nurmagomedov,2021-03-27,1487.5100996301958,,1487.5100996301958,0,0,0,0.0
Abubakar Nurmagomedov,2022-10-22,1493.755049815098,1500.0,1487.5100996301958,0,0,0,0.0
Abubakar Nurmagomedov,2023-06-03,1495.8366998767317,1500.0,1487.5100996301958,0,0,0,0.0
Abus Magomedov,2022-09-03,,,,0,0,0,0.0
Abus Magomedov,2023-07-01,1453.23844096606,1453.23844096606,,0,0,0,0.0
Abus Magomedov,2023-11-04,1505.5595590810453,1453.23844096606,1557.880677196031,0,0,0,0.0
Abus Magomedov,2024-05-18,1518.374626241145,1453.23844096606,1550.9427188786879,0,0,0,0.0
Abus Magomedov,2024-10-26,1520.4173378245061,1489.8919567703247,1550.9427188786879,0,0,0,0.0
Abus Magomedov,2025-04-26,1520.1712135810055,1499.6568767158842,1550.9427188786879,0,0,0,0.0
Abus Magomedov,2025-10-04,1527.9011502303401,1516.3803659061662,1550.9427188786879,0,0,0,0.0
Abus Magomedov,2026-06-27,1530.6834308127802,1516.3803659061662,1549.7541840215988,0,0,0,0.0
Adam Cella,2013-04-06,,,,0,0,0,0.0
Adam Fugitt,2022-07-30,,,,0,0,0,0.0
Adam Fugitt,2023-02-04,1500.0,,1500.0,0,0,0,0.0
Adam Fugitt,2023-06-10,1500.0,1500.0,1500.0,0,0,0,0.0
Adam Fugitt,2024-06-15,1506.4784627035806,1500.0,1509.7176940553709,0,0,0,0.0
Adam Fugitt,2025-07-19,1505.3987611046612,1501.0798281539514,1509.7176940553709,0,0,0,0.0
Adam Fugitt,2026-01-24,1504.3190088837289,1501.0798281539514,1506.4784627035806,0,0,0,0.0
Adam Milstead,2016-05-29,,,,0,0,0,0.0
Adam Milstead,2017-02-04,1500.0,1500.0,,0,0,0,0.0
Adam Milstead,2018-03-03,1491.2867720069319,1500.0,,0,0,0,0.0
